[10:05:18] TCP | 192.168.1.8:54645 -> 51.104.15.252:443
[10:05:18] TCP | 44.233.229.28:443 -> 192.168.1.8:65162
[10:05:18] TCP | 51.104.15.252:443 -> 192.168.1.8:54645
[10:05:18] TCP | 192.168.1.8:54645 -> 51.104.15.252:443
[10:05:18] TCP | 192.168.1.8:61247 -> 18.97.36.77:443
[10:05:18] TCP | 51.104.15.252:443 -> 192.168.1.8:54645
[10:05:18] TCP | 192.168.1.8:54645 -> 51.104.15.252:443
[10:05:18] TCP | 192.168.1.8:54645 -> 51.104.15.252:443
[10:05:19] TCP | 192.168.1.8:55673 -> 192.168.1.2:8009
[10:05:19] TCP | 192.168.1.2:8009 -> 192.168.1.8:55673
[10:05:19] TCP | 51.104.15.252:443 -> 192.168.1.8:54645
[10:05:19] TCP | 51.104.15.252:443 -> 192.168.1.8:54645
[10:05:19] TCP | 192.168.1.8:53012 -> 163.181.201.184:443
[10:05:19] TCP | 192.168.1.8:55673 -> 192.168.1.2:8009
[10:05:19] TCP | 18.97.36.77:443 -> 192.168.1.8:61247
[10:05:19] TCP | 18.97.36.77:443 -> 192.168.1.8:61247
[10:05:19] TCP | 192.168.1.8:61247 -> 18.97.36.77:443
[10:05:19] TCP | 51.104.15.252:443 -> 192.168.1.8:54645
[10:05:19] TCP | 192.168.1.8:64394 -> 54.211.149.203:443
[10:05:19] TCP | 163.181.201.184:443 -> 192.168.1.8:53012
[10:05:19] TCP | 192.168.1.8:54645 -> 51.104.15.252:443
[10:05:19] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:19] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:19] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:19] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:20] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:20] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:20] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:20] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:20] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:20] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:20] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:20] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:20] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:20] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:20] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:20] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:20] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:20] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:20] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:20] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:21] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:21] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:21] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:21] TCP | 192.168.1.8:63502 -> 20.42.65.85:443
[10:05:21] TCP | 20.42.65.85:443 -> 192.168.1.8:63502
[10:05:21] [ARP] 192.168.1.1 -> 192.168.1.8
[10:05:21] [ARP] 192.168.1.8 -> 192.168.1.1
[10:05:24] TCP | 192.168.1.8:55673 -> 192.168.1.2:8009
